locationid,latitude,longitude,stationname,parentcity,sourceurl
1077,29.893743,121.620269,Municipal management station,ningbo,http://aqicn.org/city/ningbo/shizhengguanlizhan/
1078,29.862459,121.5328,Qianhu shuihan,ningbo,http://aqicn.org/city/ningbo/shihuanjingjiancezhongxin/
1079,29.884687,121.562713,Sanjiang secondary schools,ningbo,http://aqicn.org/city/ningbo/sanjiangzhongxue/
1080,31.228451,121.478227,City average,shanghai,http://aqicn.org/city/shanghai/quanshipingjun/
1081,29.858177,121.593738,Taigu Primary School,ningbo,http://aqicn.org/city/ningbo/taiguxiaoxue/
1082,29.949294,121.720671,Longsai Hospital,ningbo,http://aqicn.org/city/ningbo/longsaiyiyuan/
1083,29.899544,121.827597,Beilun District EPB,ningbo,http://aqicn.org/city/ningbo/quhuanbaodaloubeilun/
1084,29.788156,121.652415,Qianhu water plant,ningbo,http://aqicn.org/city/ningbo/qianhushuichang/
1085,36.625683,114.544812,Handan,handan,http://aqicn.org/city/handan/
1087,22.999349,113.110189,Foshan,foshan,http://aqicn.org/city/foshan/
1088,31.741307,110.685554,Shennongjia,shennongjia,http://aqicn.org/city/shennongjia/
1089,39.631273,118.206223,"Xiaoshanzi Station, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/xiaoshanzizhan/
1090,35.424746,116.699093,"Shengdi Hollidays Resort, Jining",shandong,http://aqicn.org/city/shandong/jining/shengdidujiacun/
1091,23.077493,114.410275,"Xiabu, Huizhou",guangdong,http://aqicn.org/city/guangdong/huizhou/xiapu/
1092,22.814485,114.329292,"Huiyang chuanhu, Huizhou",guangdong,http://aqicn.org/city/guangdong/huizhou/huiyangchuanhu/
1093,22.739283,114.53631,"Daya bay management committee, Huizhou",guangdong,http://aqicn.org/city/guangdong/huizhou/dayawanguanweihui/
1094,21.660223,110.929968,Maoming,maoming,http://aqicn.org/city/maoming/
1095,24.285988,116.127065,Meizhou,meizhou,http://aqicn.org/city/meizhou/
1096,22.772349,115.370227,"City EPA, Shanwei",guangdong,http://aqicn.org/city/guangdong/shanwei/shihuanbaoju/
1097,22.787161,115.375536,"City government, Shanwei",guangdong,http://aqicn.org/city/guangdong/shanwei/shizhengfu/
1098,22.789851,115.367124,"Xincheng Middle School, Shanwei",guangdong,http://aqicn.org/city/guangdong/shanwei/xinchengzhongxue/
1099,22.783576,115.38022,Shanwei,shanwei,http://aqicn.org/city/shanwei/
1100,21.855227,111.987308,Yangjiang,yangjiang,http://aqicn.org/city/yangjiang/
1101,23.654204,116.626969,Chaozhou,chaozhou,http://aqicn.org/city/chaozhou/
1102,23.547596,116.37754,Jieyang,jieyang,http://aqicn.org/city/jieyang/
1103,22.912436,112.049811,Yunfu,yunfu,http://aqicn.org/city/yunfu/
1104,41.774139,123.441839,"wenhua street, Shenyang , Shenyang",china,http://aqicn.org/city/china/shenyang/wenhualu/
1105,41.823665,123.562317,"Tanglin Road , Shenyang , Shenyang",china,http://aqicn.org/city/china/shenyang/donglinglu/
1106,40.112974,124.373604,"minzhu bridge, Dandong , Dandong",china,http://aqicn.org/city/china/dandong/minzhuqiao/
1107,40.146298,124.399081,"yuanbaoshan, Dandong , Dandong",china,http://aqicn.org/city/china/dandong/yuanbaoshan/
1108,40.152757,124.431745,"linjiang houjie, Dandong , Dandong",china,http://aqicn.org/city/china/dandong/linjianghoujie/
1109,40.653831,122.221943,"jinghu west street, Yingkou , Yingkou",china,http://aqicn.org/city/china/yingkou/jinghuxilu/
1110,40.709181,122.28243,"Daqing Road , Yingkou , Yingkou",china,http://aqicn.org/city/china/yingkou/daqinglu/
1111,40.775362,120.871706,"Dongcheng District , Huludao , Huludao",china,http://aqicn.org/city/china/huludao/dongchengqu/
1112,40.758901,120.842935,"huagong street, Huludao , Huludao",china,http://aqicn.org/city/china/huludao/huagongjie/
